x,z
0,-211.334954579671
189.192319616347,-213.578779856364
378.384639232693,-217.474156697591
567.57695884904,-219.800847371419
756.769278465386,-220.963957468669
945.961598081733,-222.83158493042
1135.15391769808,-225.835741678874
1324.34623731443,-228.096446990967
1513.53855693077,-232.005653381348
1702.73087654712,-235.533551534017
1891.92319616347,-237.697414398193
2081.11551577981,-240.105005900065
2270.30783539616,-242.802462259928
2459.50015501251,-245.281014760335
2648.69247462885,-248.781575520833
2837.8847942452,-252.589515686035
3027.07711386155,-254.803943634033
3216.26943347789,-257.430908203125
3405.46175309424,-261.532712300618
3594.65407271058,-266.059811909993
3783.84639232693,-270.785268147786
3973.03871194328,-277.003621419271
4162.23103155962,-283.445337931315
4351.42335117597,-289.498751322428
4540.61567079232,-296.318476359049
4729.80799040866,-303.197041829427
4919.00031002501,-310.025667826335
5108.19262964136,-314.585248311361
5297.3849492577,-318.998570760091
5486.57726887405,-330.604494730632
5675.7695884904,-338.806210835775
5864.96190810674,-366.770342508952
6054.15422772309,-371.418937683105
6243.34654733944,-371.051968892415
6432.53886695578,-382.085141499837
6621.73118657213,-390.222946166992
6810.92350618848,-418.412821451823
7000.11582580482,-429.574956258138
7189.30814542117,-434.251825968424
7378.50046503752,-442.635233561198
7567.69278465386,-479.089497884115
7756.88510427021,-513.748318990072
7946.07742388656,-502.180903116862
8135.2697435029,-517.239479064941
8324.46206311925,-550.06406656901
8513.6543827356,-561.733505249023
8702.84670235194,-572.751373291016
8892.03902196829,-592.278834025065
9081.23134158463,-647.302607218424
9270.42366120098,-680.493291219076
9459.61598081733,-694.095616658529
9648.80830043367,-710.623555501302
9838.00062005002,-763.910903930664
10027.1929396664,-776.782094319661
10216.3852592827,-855.61186726888
10405.5775788991,-924.560801188151
10594.7698985154,-992.50678507487
10783.9622181318,-1056.36432393392
10973.1545377481,-1104.41205851237
11162.3468573644,-1135.44391886393
11351.5391769808,-1125.08897908529
11540.7314965971,-1123.84756469727
11729.9238162135,-1141.22618611654
11919.1161358298,-1141.90751139323
12108.3084554462,-1103.4531656901
12297.5007750625,-1108.70453898112
12486.6930946789,-1081.00201924642
12675.8854142952,-1045.28180440267
12865.0777339116,-1043.84201558431
13054.2700535279,-1123.7857615153
13243.4623731443,-1153.3998260498
13432.6546927606,-1130.12226359049
13621.847012377,-1104.21146138509
13811.0393319933,-1128.40438842773
14000.2316516096,-1145.27893066406
14189.423971226,-1186.67744954427
14378.6162908423,-1226.56350708008
14567.8086104587,-1271.88195800781
14757.000930075,-1309.01971435547
14946.1932496914,-1343.83846028646
15135.3855693077,-1394.04851277669
15324.5778889241,-1430.40608723958
15513.7702085404,-1498.80307006836
15702.9625281568,-1526.46648152669
15892.1548477731,-1565.52928670247
16081.3471673895,-1623.55606079102
16270.5394870058,-1679.49994913737
16459.7318066222,-1702.39557902018
16648.9241262385,-1756.33943684896
16838.1164458548,-1756.49328613281
17027.3087654712,-1730.94539388021
17216.5010850875,-1632.12022908529
17405.6934047039,-1551.35555013021
17594.8857243202,-1606.00571695964
17784.0780439366,-1682.49450683594
17973.2703635529,-1678.85220336914
18162.4626831693,-1638.25013224284
18351.6550027856,-1645.62428792318
18540.847322402,-1649.14922078451
18730.0396420183,-1642.74358113607
18919.2319616347,-1644.67895507813
19108.424281251,-1660.28839111328
19297.6166008673,-1682.6806233724
19486.8089204837,-1721.49018351237
19676.0012401,-1777.92682902018
19865.1935597164,-1850.58367919922
20054.3858793327,-1860.88120524089
20243.5781989491,-1798.51311238607
20432.7705185654,-1731.41399129232
20621.9628381818,-1663.84482828776
20811.1551577981,-1608.91122436523
21000.3474774145,-1567.32558186849
21189.5397970308,-1519.43893432617
21378.7321166472,-1469.25803629557
21567.9244362635,-1418.54672241211
21757.1167558799,-1386.19424438477
21946.3090754962,-1357.35565185547
22135.5013951125,-1317.59707641602
22324.6937147289,-1259.86075846354
22513.8860343452,-1249.03257242839
22703.0783539616,-1274.18485514323
22892.2706735779,-1242.87553914388
23081.4629931943,-1173.30410766602
23270.6553128106,-1117.38799540202
23459.847632427,-1097.03398132324
23649.0399520433,-1031.33507283529
23838.2322716597,-1021.77943929036
24027.424591276,-1007.13550313314
24216.6169108924,-975.48898824056
24405.8092305087,-943.477289835612
24595.0015501251,-922.635899861654
24784.1938697414,-835.649449666341
24973.3861893577,-730.837107340495
25162.5785089741,-708.273691813151
25351.7708285904,-690.424270629883
25540.9631482068,-706.208501180013
25730.1554678231,-702.206690470378
25919.3477874395,-666.739410400391
26108.5401070558,-623.392374674479
26297.7324266722,-633.455647786458
26486.9247462885,-662.021219889323
26676.1170659049,-723.80751546224
26865.3093855212,-778.873123168945
27054.5017051376,-817.112386067708
27243.6940247539,-863.260879516602
27432.8863443703,-916.576527913411
27622.0786639866,-988.283925374349
27811.2709836029,-1073.40151977539
28000.4633032193,-1137.26188151042
28189.6556228356,-1160.93013000488
28378.847942452,-1132.73613484701
28568.0402620683,-1042.12479654948
28757.2325816847,-951.785634358724
28946.424901301,-837.404286702474
29135.6172209174,-777.450241088867
29324.8095405337,-800.114715576172
29514.0018601501,-921.264973958333
29703.1941797664,-1011.71789550781
29892.3864993828,-1092.859375
30081.5788189991,-1155.55735270182
30270.7711386155,-1218.38161214193
30459.9634582318,-1299.63228352865
30649.1557778481,-1387.05460611979
30838.3480974645,-1457.58197021484
31027.5404170808,-1522.50505574544
31216.7327366972,-1457.40989176432
31405.9250563135,-1375.45822143555
31595.1173759299,-1302.759765625
