x,z,coordx,coordy
0,-136.264032999674,670756.518799998,3113242.4441
200.160003587734,-136.861572265625,670730.100154853,3113440.85297638
400.320007175468,-138.353352864583,670703.681509708,3113639.26185275
600.480010763202,-139.982274373372,670677.262864562,3113837.67072913
800.640014350935,-142.486433664958,670650.844219417,3114036.07960551
1000.80001793867,-144.609270731608,670624.425574272,3114234.48848188
1200.9600215264,-146.010092417399,670598.006929127,3114432.89735826
1401.12002511414,-145.809668223063,670571.588283982,3114631.30623463
1601.28002870187,-147.584403991699,670545.169638837,3114829.71511101
1801.4400322896,-153.517520904541,670518.750993692,3115028.12398739
2001.60003587734,-155.686986287435,670492.332348546,3115226.53286376
2201.76003946507,-156.75543085734,670465.913703401,3115424.94174014
2401.92004305281,-157.70822652181,670439.495058256,3115623.35061652
2602.08004664054,-159.750040690104,670413.076413111,3115821.75949289
2802.24005022827,-163.02526473999,670386.657767966,3116020.16836927
3002.40005381601,-164.018555959066,670360.239122821,3116218.57724565
3202.56005740374,-165.45809173584,670333.820477676,3116416.98612202
3402.72006099148,-166.291559855143,670307.401832531,3116615.3949984
3602.88006457921,-167.717463175456,670280.983187385,3116813.80387477
3803.04006816694,-169.912396748861,670254.56454224,3117012.21275115
4003.20007175468,-172.974057515462,670228.145897095,3117210.62162753
4203.36007534241,-175.013689676921,670201.72725195,3117409.0305039
4403.52007893015,-174.321362813314,670175.308606805,3117607.43938028
4603.68008251788,-176.834813435872,670148.88996166,3117805.84825666
4803.84008610561,-177.299549102783,670122.471316514,3118004.25713303
5004.00008969335,-182.972836812337,670096.052671369,3118202.66600941
5204.16009328108,-184.884586334229,670069.634026224,3118401.07488579
5404.32009686881,-185.087028503418,670043.215381079,3118599.48376216
5604.48010045655,-195.220616658529,670016.796735934,3118797.89263854
5804.64010404428,-203.332665761312,669990.378090789,3118996.30151492
6004.80010763202,-211.622706095378,669963.959445644,3119194.71039129
6204.96011121975,-222.134967803955,669937.540800498,3119393.11926767
6405.12011480748,-237.785469055176,669911.122155353,3119591.52814404
6605.28011839522,-261.891245524089,669884.703510208,3119789.93702042
6805.44012198295,-272.530629475911,669858.284865063,3119988.3458968
7005.60012557069,-296.948790232341,669831.866219918,3120186.75477317
7205.76012915842,-333.816864013672,669805.447574773,3120385.16364955
7405.92013274615,-342.796844482422,669779.028929628,3120583.57252593
7606.08013633389,-376.319618225098,669752.610284482,3120781.9814023
7806.24013992162,-356.442092895508,669726.191639337,3120980.39027868
8006.40014350935,-373.38373819987,669699.772994192,3121178.79915506
8206.56014709709,-383.552248636882,669673.354349047,3121377.20803143
8406.72015068482,-400.565729777018,669646.935703902,3121575.61690781
8606.88015427256,-418.176765441895,669620.517058757,3121774.02578418
8807.04015786029,-430.765642801921,669594.098413612,3121972.43466056
9007.20016144802,-415.799690246582,669567.679768466,3122170.84353694
9207.36016503576,-390.297327677409,669541.261123321,3122369.25241331
9407.52016862349,-390.479901631673,669514.842478176,3122567.66128969
9607.68017221122,-388.297833760579,669488.423833031,3122766.07016607
9807.84017579896,-409.523811340332,669462.005187886,3122964.47904244
10008.0001793867,-432.715726216634,669435.586542741,3123162.88791882
10208.1601829744,-450.581840515137,669409.167897596,3123361.29679519
10408.3201865622,-478.52124786377,669382.74925245,3123559.70567157
10608.4801901499,-513.158899943034,669356.330607305,3123758.11454795
10808.6401937376,-544.036778767904,669329.91196216,3123956.52342432
11008.8001973254,-561.042821248372,669303.493317015,3124154.9323007
11208.9602009131,-556.235326131185,669277.07467187,3124353.34117708
11409.1202045008,-532.708582560221,669250.656026725,3124551.75005345
11609.2802080886,-499.789522806803,669224.23738158,3124750.15892983
11809.4402116763,-463.046719868978,669197.818736435,3124948.56780621
12009.600215264,-434.181198120117,669171.400091289,3125146.97668258
12209.7602188518,-380.396949768066,669144.981446144,3125345.38555896
12409.9202224395,-328.029813130697,669118.562800999,3125543.79443534
12610.0802260272,-290.869519551595,669092.144155854,3125742.20331171
12810.240229615,-294.003395080566,669065.725510709,3125940.61218809
13010.4002332027,-303.700167338053,669039.306865564,3126139.02106446
13210.5602367904,-325.790301005046,669012.888220418,3126337.42994084
13410.7202403782,-387.778144836426,668986.469575273,3126535.83881722
13610.8802439659,-415.899553934733,668960.050930128,3126734.24769359
13811.0402475536,-436.397198994954,668933.632284983,3126932.65656997
14011.2002511414,-453.097073872884,668907.213639838,3127131.06544635
14211.3602547291,-463.348332722982,668880.794994693,3127329.47432272
14411.5202583168,-455.846328735352,668854.376349548,3127527.8831991
14611.6802619046,-471.569592793783,668827.957704403,3127726.29207548
14811.8402654923,-481.715621948242,668801.539059257,3127924.70095185
15012.00026908,-492.95103708903,668775.120414112,3128123.10982823
15212.1602726678,-510.463264465332,668748.701768967,3128321.5187046
15412.3202762555,-528.067085266113,668722.283123822,3128519.92758098
15612.4802798432,-553.46396891276,668695.864478677,3128718.33645736
15812.640283431,-594.861241658529,668669.445833532,3128916.74533373
16012.8002870187,-657.619277954102,668643.027188387,3129115.15421011
16212.9602906064,-728.800145467122,668616.608543241,3129313.56308649
16413.1202941942,-802.573532104492,668590.189898096,3129511.97196286
16613.2802977819,-837.516398111979,668563.771252951,3129710.38083924
16813.4403013696,-840.884841918945,668537.352607806,3129908.78971562
17013.6003049574,-841.197814941406,668510.933962661,3130107.19859199
17213.7603085451,-821.303187052409,668484.515317516,3130305.60746837
17413.9203121328,-872.278834025065,668458.09667237,3130504.01634474
17614.0803157206,-912.208989461263,668431.678027225,3130702.42522112
17814.2403193083,-951.342417399089,668405.25938208,3130900.8340975
18014.400322896,-1024.13268534342,668378.840736935,3131099.24297387
18214.5603264838,-1092.1904703776,668352.42209179,3131297.65185025
18414.7203300715,-1165.32558186849,668326.003446645,3131496.06072663
18614.8803336593,-1221.44814046224,668299.5848015,3131694.469603
18815.040337247,-1243.92895507813,668273.166156354,3131892.87847938
19015.2003408347,-1192.54873657227,668246.747511209,3132091.28735576
19215.3603444224,-1139.36080932617,668220.328866064,3132289.69623213
19415.5203480102,-1122.21923828125,668193.910220919,3132488.10510851
19615.6803515979,-1152.36104329427,668167.491575774,3132686.51398489
19815.8403551856,-1211.75128173828,668141.072930629,3132884.92286126
20016.0003587734,-1271.40245564779,668114.654285484,3133083.33173764
20216.1603623611,-1346.86991373698,668088.235640339,3133281.74061401
20416.3203659489,-1423.95653279622,668061.816995193,3133480.14949039
20616.4803695366,-1472.19674682617,668035.398350048,3133678.55836677
20816.6403731243,-1452.11650594076,668008.979704903,3133876.96724314
21016.8003767121,-1462.48404947917,667982.561059758,3134075.37611952
21216.9603802998,-1492.36321004232,667956.142414613,3134273.7849959
21417.1203838875,-1459.0092976888,667929.723769468,3134472.19387227
21617.2803874753,-1415.8574625651,667903.305124323,3134670.60274865
21817.440391063,-1433.51807657878,667876.886479177,3134869.01162503
22017.6003946507,-1460.96909586589,667850.467834032,3135067.4205014
22217.7603982385,-1509.98346964518,667824.049188887,3135265.82937778
22417.9204018262,-1572.5947265625,667797.630543742,3135464.23825415
22618.0804054139,-1657.36033121745,667771.211898597,3135662.64713053
