DBID,X,Y,PX,PY,u_loc,u_scale,u_mean,u_sd,dpl_m,z_m
3808,469070.103118073,3113001.59188387,485166.591531253,3114930.27105697,-0.324443,1.329922,1.745418,3.964775,15398.5103416532,1612.730957
3809,467577.347454965,3121155.69586024,484182.268376045,3123145.2953511,-0.180994,1.357815,2.183342,9.47789,23672.2952208421,2090.053711
3810,468955.592046608,3128769.58798375,483302.392192241,3130488.61973349,-0.358604,1.332058,1.729588,3.932148,31068.1450762497,2513.217773
3827,461630.838389145,3172074.03814496,478083.426163782,3174045.38509779,-1.223406,1.244163,0.640133,1.209468,74936.4641163891,3179.760254
3834,466254.943936415,3178807.71044295,477353.465678191,3180137.53389178,-1.687464,1.196571,0.382354,0.705794,81072.1889503908,3157.876953
3835,462976.559609729,3164479.17497233,478999.608497686,3166399.05463096,-1.693151,1.195845,0.371948,0.604665,67235.4408287327,3717.281494
3850,479373.118928324,3101572.07401398,486662.51654883,3102445.4887001,-1.685205,1.187802,0.373413,0.61171,2824.4265914765,608.439331
3851,494805.381131643,3104140.30893315,486577.568480178,3103154.45347861,-2.435495,1.137064,0.16704,0.264826,3538.4624669986,478.1763
3852,483636.935774775,3108379.88325986,485918.699328661,3108653.28387565,-1.203166,1.236333,0.648424,1.194056,9076.62500472347,917.230225
3856,498466.457205935,3131654.43112605,483379.308028509,3129846.69085047,-0.548214,1.31423,1.367485,2.78357,30421.6245918721,1425.328003
3857,495558.392567693,3140922.46301308,482243.371546488,3139327.05890543,-0.96011,1.264717,0.877306,1.866566,39969.8040072784,1806.512451
3860,494643.842448387,3150139.98174212,481141.617289584,3148522.14685876,-0.767221,1.282166,1.0647,2.064373,49230.6627640068,1999.759644
3862,489747.225223523,3156935.17308311,480269.637416374,3155799.56973002,-1.187391,1.25586,0.668729,1.453135,56560.1397266811,1967.366943
3863,496266.839580927,3166847.75178864,479191.000101539,3164801.72689664,-1.085561,1.267541,0.754657,1.486613,65626.6876976283,1984.978271
3864,487116.311790607,3161762.19877068,479662.212988616,3160869.04961016,-1.110068,1.25338,0.713056,1.238414,61665.8806807979,1945.670166
3865,494348.35511995,3177247.67988663,477935.365647296,3175281.07759725,-1.953096,1.167346,0.284557,0.51023,76180.9953011167,2936.495361
3866,480193.652794439,3164491.60991686,479241.823502508,3164377.56185342,-0.833772,1.272305,0.963948,1.735397,65199.4886784644,2690.428467
3867,475966.738530357,3179525.74059628,477406.105959619,3179698.20541668,-1.082393,1.263302,0.751996,1.374005,80629.7180380563,2471.353027
3868,485894.390726562,3190755.75410732,476220.083998859,3189596.57991845,-1.665746,1.199355,0.388295,0.690707,90598.8938248892,2078.466309
3869,471294.182694211,3187838.43607682,476358.043719929,3188445.18725416,-1.441126,1.216608,0.490581,0.82939,89439.2654568263,2483.802002
3870,488377.496621466,3197768.2348686,475426.886690304,3196216.49445094,-1.349139,1.234977,0.554117,0.966208,97266.159410398,2371.740723
3871,480484.184378025,3212525.78388163,473571.947342389,3211697.56052831,-0.678159,1.298273,1.193263,2.458331,112857.958757379,3190.132813
3872,477402.655659566,3226627.94270097,471862.529363266,3225964.12548011,-2.494857,1.11281,0.153458,0.243442,127226.569871579,4565.52832
3873,482851.009319016,3230307.50134844,471504.999043412,3228948.02385529,-2.692649,1.100907,0.123897,0.193688,130231.81153292,4765.978027
3874,494430.268915203,3203450.39583397,474841.355696929,3201103.25476953,-0.631648,1.307752,1.237927,2.46118,102187.873842951,3058.855469
3880,489835.554460891,3228515.77830003,471815.500982968,3226356.61780807,-1.45521,1.215942,0.492411,0.895821,127621.869626277,4205.206055
3882,482538.33527505,3255187.18199885,468561.686460766,3253512.50173407,-2.549668,1.110874,0.144821,0.220234,154971.994685354,5206.978516
3897,467503.503225382,3195442.36348514,475406.185718451,3196389.26188588,-0.94512,1.26892,0.870939,1.614149,97440.162619601,2581.234863
3898,474620.912323707,3207567.51374196,474074.651574773,3207502.06084922,-0.821767,1.298392,1.04932,2.479515,108632.449426836,2659.925049
3899,473146.850783765,3215960.61526278,473062.361665461,3215950.49178748,-0.662955,1.291405,1.209562,2.518817,117141.310465719,3442.460693
3900,457815.911793771,3214636.39190324,473001.796214903,3216455.96262303,-1.175427,1.226704,0.65611,1.205998,117650.396842865,3712.71875
3901,471847.248677617,3223496.28693132,472153.824019676,3223533.0207494,-0.835468,1.27438,0.969761,1.806518,124778.075887821,3782.988525
3902,477799.263858465,3237318.56552854,470605.323786192,3236456.58855358,-2.220792,1.163021,0.216461,0.375555,137794.083638364,4781.804688
3903,473586.613921391,3241847.48786277,470010.725247992,3241419.02534146,-2.186362,1.144372,0.216458,0.356506,142792.015840321,4568.861816
3904,458694.602589962,3237346.48721779,470331.625808993,3238740.83384441,-2.059095,1.15798,0.25034,0.423134,140094.667723204,4372.749512
3905,472657.682324728,3247287.65287876,469354.963529153,3246891.92153711,-2.279642,1.152929,0.198115,0.318681,148304.058673994,4884.786133
3906,458148.171498891,3241372.64873763,469848.30558292,3242774.55729999,-2.326706,1.141633,0.184938,0.286739,144157.24367413,4486.387695
3908,460593.235145488,3255664.05767867,468194.753808646,3256574.87066802,-1.890277,1.18053,0.302153,0.504513,158056.268191189,4662.208008
3909,449950.611368942,3246156.52380411,469167.190181498,3248459.05180791,-2.481248,1.127766,0.15907,0.255855,149882.398344575,4872.701172
3910,452153.023896795,3252669.09280629,468429.07162202,3254619.28675309,-1.617042,1.207712,0.411492,0.722718,156086.696337715,4715.95752
3911,459828.2139745,3231432.08561373,471046.30320134,3232776.23562325,-1.187996,1.24224,0.651314,1.122867,134087.405808236,3891.581787
3920,462555.435178558,3201425.42898337,474629.409174797,3202872.13099597,-0.807021,1.282458,1.014271,2.009146,103969.402521553,2893.582764
3921,461827.281140949,3207554.64592918,473895.095618997,3209000.6099091,-0.702536,1.302938,1.190339,2.733182,110141.717337487,3119.375977
3927,476070.497319814,3173505.63072874,478118.693910815,3173751.04538106,-1.456273,1.226442,0.496504,0.918184,74640.0190408251,2704.992676
3928,472387.209658912,3163999.01274322,479189.521762921,3164814.06490535,-1.348412,1.213747,0.53557,0.87925,65639.1139578878,3411.162354
3929,470622.49335703,3169643.85347892,478497.753568282,3170587.46614538,-1.516305,1.21312,0.468263,0.911132,71453.8112942509,3276.233154
3940,486243.255578455,3129764.67175406,483429.531622702,3129427.53171127,-0.870677,1.263249,0.924847,1.801933,29999.4672830577,1671.543579
3941,493117.462663095,3132352.04108863,483221.196021725,3131166.27169144,-0.761024,1.297024,1.077333,2.064477,31750.6441562642,1773.250488
3942,489509.161621591,3139595.13703381,482314.542183485,3138733.07865732,-0.87906,1.271865,0.932114,1.761002,39371.5751257278,2156.759521
3943,486725.777740887,3145546.30702329,481572.171340873,3144928.80256673,-1.318853,1.231099,0.570349,1.046304,45611.6159292517,2551.988037
3944,480190.888799814,3153749.32961414,480510.705380385,3153787.64999572,-1.465608,1.216425,0.485001,0.897186,54533.8290938977,2615.999512
3945,470956.089307889,3155115.57315672,480218.613574638,3156225.40762403,-0.841877,1.269985,0.974634,1.997314,56989.0235622332,3382.263916
3946,471510.783835143,3146553.42191064,481237.859957789,3147718.91892162,-1.150218,1.251326,0.691557,1.309547,48421.6894825054,2745.413818
3947,468140.005866322,3138177.61634361,482179.534873957,3139859.83090508,-0.940326,1.267525,0.868079,1.700366,40506.3868288149,2940.057129
3948,463905.799402479,3148487.53657647,480901.756702142,3150523.98999596,-1.085123,1.26455,0.746416,1.52948,51246.8247236138,3225.020264
3950,477655.919696599,3130003.34628872,483279.796707539,3130677.19850945,-0.779203,1.281245,1.061288,2.136787,31258.0727221385,2202.283936
3951,501533.48011587,3107259.91166672,486304.29539135,3105435.15271014,-1.524893,1.217766,0.454079,0.838373,5835.47512820843,659.065979
