DBID,X,Y,PX,PY,u_loc,u_scale,u_mean,u_sd,dpl_m,z_m
2576,-29510.4645226603,3237978.56989243,41723.6492993918,3214833.20326795,-2.293408,1.147395,0.199191,0.379304,75044.8519364365,929.697754
2578,-23320.1501446965,3250705.68124581,46055.1759011265,3228164.27138094,-0.474835,1.323172,1.507295,3.497252,89061.9664659973,2143.942627
2617,-23882.7883790149,3204767.46420397,32500.5454836892,3186447.4084927,-1.55643,1.207565,0.430029,0.726145,45198.2610252874,898.492065
2618,-21335.3960826649,3222252.78189742,37882.6057382481,3203011.68673424,-2.103148,1.16249,0.239675,0.405568,62614.9738680386,907.711487
2619,-20073.4330226134,3225439.53293707,38939.6751192642,3206265.01176585,-2.340962,1.148255,0.184002,0.275741,66035.7222419401,832.414856
2620,-30048.2436984307,3229166.08895664,39082.3727926317,3206704.19004597,-2.51926,1.11716,0.149028,0.221628,66497.5016131886,822.265991
2621,-25144.7039805639,3232820.69797889,40624.6818124785,3211450.92912559,-2.620413,1.108339,0.134581,0.205899,71488.5184437233,799.624878
2622,-22884.1327178935,3240005.1704798,42952.0106503342,3218613.71077545,-1.598607,1.210251,0.422126,0.756,79019.9127690193,1166.62146
2623,-11757.2156515289,3239163.0771814,43767.0516717462,3221122.14910917,-1.374333,1.230899,0.546542,1.125052,81657.440918759,1291.161499
2624,-6513.55848415497,3250276.83587707,47534.0281043185,3232715.71046062,-0.039572,1.341573,2.446809,5.943247,93847.6327242021,2452.605225
2625,-16685.9774618144,3262892.22615217,50270.218706711,3241136.83923218,-0.050757,1.352164,2.340689,4.818594,102702.131512939,2869.013428
2626,-5600.66639825581,3258128.30832177,49928.6913973928,3240085.72625479,-0.09807,1.348782,2.259124,4.9357,101596.925923813,2943.202637
2627,-1793.48866608519,3263672.14244139,51921.5364888476,3246219.0727849,0.021494,1.381879,2.71534,7.19237,108045.908108388,3451.267334
2628,-464.22666365537,3269980.3547997,53902.4068113621,3252315.56476579,-0.419317,1.322984,1.617793,4.250939,114456.139126656,4220.010254
2629,-4211.67598576286,3273194.65576913,54489.2165970118,3254121.57958253,-0.084163,1.363465,2.361158,5.470122,116355.09548288,3859.487549
2631,-9835.31695252413,3292381.68621167,59591.1334345243,3269823.66504138,-0.056239,1.362494,2.423006,5.750695,132865.24518462,4247.712891
2653,213.967173184131,3291642.42576798,60333.491484676,3272108.40819102,-0.333086,1.333858,1.724198,3.359162,135267.566298555,4857.539551
2654,15158.503778488,3293919.23483338,62429.7051394184,3278559.89044662,-1.759707,1.183504,0.345398,0.679481,142051.056180664,4664.671875
2655,13402.9351771242,3301449.17528464,64475.0572293283,3284854.83690147,-2.17375,1.143241,0.217743,0.336569,148669.954581534,4916.87793
2656,5166.75685992714,3300308.89142529,63353.4511664098,3281402.88838643,-1.890352,1.175108,0.301884,0.519402,145040.361117954,4906.435547
2657,8056.59827256117,3276463.4382147,56621.4036000853,3260683.77642007,-1.141149,1.246654,0.694163,1.212633,123254.997565567,4763.461426
2658,3255.6973499618,3276923.13286095,56298.0592229444,3259688.62475371,-0.748057,1.293412,1.101408,2.314625,122208.633180997,4480.42041
2661,-20277.6897096831,3259407.74186238,48903.1764678002,3236929.51583886,-0.190918,1.352218,2.047887,4.189269,98278.2898997107,2935.337891
2662,-3375.1388534336,3229886.75608465,41841.2264137857,3215195.06841727,-1.380372,1.219187,0.530565,0.963095,75425.3394712135,1290.553589
2664,2861.85399698819,3233971.04819782,43637.1495691916,3220722.35154669,-0.628671,1.298372,1.252965,2.657865,81237.0688844727,1733.796265
2665,-4863.43468956335,3241403.38386453,45083.7587903428,3225174.55693135,-0.303661,1.33888,1.841597,4.100844,85918.3946609954,1927.565186
2666,6558.3346314354,3240897.65102238,46025.8095544741,3228073.8910593,-0.288676,1.346716,1.837647,3.690179,88966.9349719797,2354.636963
2667,-1998.65555594713,3246052.35955793,46723.6205304591,3230221.53241215,-0.275792,1.339452,1.85843,3.810355,91225.0987257125,2331.775879
2668,803.528974030998,3253290.18253704,49118.3481452973,3237591.74616836,-0.199367,1.353314,2.04907,4.661726,98974.6000749239,2744.208496
2669,8675.19476257129,3263268.86178007,52802.6855892894,3248930.97086513,-0.117434,1.34275,2.240746,5.834842,110897.36649573,4313.639648
2670,11402.2018052939,3246376.21745558,48098.4679869009,3234452.87779497,-0.198354,1.368789,2.073101,4.628935,95674.1985534507,3009.478271
2671,14245.8930416617,3256376.79392736,51309.1120188639,3244334.22407587,-0.089927,1.367258,2.332614,5.048065,106064.060892436,3521.740479
2672,13851.9794637502,3249737.30797736,49320.2006572228,3238212.98432125,-0.159473,1.358392,2.16127,4.938629,99627.8085249442,3073.252441
2673,-16038.1019035514,3220541.70900381,37885.580614023,3203020.84246044,-2.462911,1.123988,0.160409,0.264513,62624.6007682709,892.344482
2674,-11828.2975494201,3225188.84633394,39653.340552359,3208461.44812034,-2.064936,1.149516,0.243946,0.454695,68345.1920966266,968.610779
2675,-1932.7115569067,3225151.17446046,40587.2134441648,3211335.61334526,-1.693694,1.183248,0.369894,0.662558,71367.2682568542,1233.255371
2677,20688.2849846323,3207013.07826976,37416.6736762555,3201577.69529761,-2.058081,1.160216,0.250333,0.418151,61107.1860425341,1397.589966
2681,30920.3136981876,3235368.19145297,46727.1041530222,3230232.25389997,-0.185476,1.347454,2.069714,4.664666,91236.3719651347,2696.681396
2682,11103.4432067591,3233450.5900526,44271.192497298,3222673.73502839,-0.471487,1.319152,1.474695,2.836366,83288.8749004779,1918.818848
2683,34777.1327984586,3240436.08276586,48584.8134919521,3235949.69534925,-0.063691,1.374361,2.391411,5.075872,97248.0456683476,3368.193604
2684,41529.6743161252,3258411.27108187,54512.3991289438,3254192.92807941,-0.162814,1.334521,2.059899,4.184313,116430.115732103,3927.667236
2711,49930.4557650527,3263178.04182146,56715.5211451965,3260973.44043922,-0.926829,1.272153,0.907871,2.099765,123559.568339423,4814.004395
2715,24538.9162036957,3250240.61228665,50488.6297321916,3241809.03924964,-0.559404,1.315568,1.357046,2.721378,103408.92443843,2988.329102
2716,18116.0924035715,3264339.13245214,54018.7557514287,3252673.6499832,-1.001517,1.258549,0.811846,1.502523,114832.652205821,4971.095215
2718,37957.4057632094,3243394.61127865,49757.9922508626,3239560.36830171,-0.231812,1.352714,1.974533,4.211706,101044.531881941,3512.259521
2720,63008.6310134992,3249325.87798066,53893.3269447368,3252287.61980975,-1.586293,1.211112,0.423118,0.717827,114426.756061029,5135.160645
2721,63188.4745348337,3259225.80981528,56820.017438405,3261295.04696052,-2.259715,1.141149,0.200925,0.342517,123897.725447642,5288.009766
2722,71618.7249220773,3252488.7792953,55645.0711250259,3257678.93403477,-2.133418,1.151279,0.228314,0.366228,120095.519307635,5399.397461
2724,19052.3743694717,3249117.00944374,49634.4930169504,3239180.27674264,-0.325694,1.316076,1.695444,3.300767,100644.879965832,3468.632813
2725,15345.6665971578,3240479.54431502,46742.0466113581,3230278.24205799,-0.094041,1.368804,2.307434,5.342866,91284.7267760606,2686.706055
2726,16234.4036219881,3213191.12511143,38807.0482623419,3205856.82827171,-1.607105,1.208777,0.41686,0.776082,65606.5327172973,1124.69104
2727,21683.0392466508,3214543.43641118,39724.7809856692,3208681.31916582,-1.513294,1.219106,0.460875,0.788486,68576.3781951604,1141.298706
2728,32295.7859270049,3227732.97632177,44614.5166371289,3223730.37808146,-0.823383,1.279011,0.988045,1.977603,84399.8951552869,1773.429443
2729,43185.2325743168,3221789.94284358,43907.7525460976,3221555.18187383,-0.857711,1.263595,0.950839,1.929883,82112.7585126542,1850.342529
2730,43941.8675279403,3232577.18025117,47150.294285481,3231534.69920373,-0.006968,1.378584,2.543861,5.593037,92605.8440011783,3065.895752
2731,39202.6679941024,3214535.9234303,41395.5486538003,3213823.41331248,-1.083794,1.245904,0.728926,1.304266,73983.0959438409,1595.464844
2733,4076.22453432102,3196204.02100085,32653.6608321177,3186918.64907985,-1.271793,1.238979,0.601988,1.091983,45693.7527012003,1540.932373
2734,-16545.149194883,3201025.77845109,32101.5738243493,3185219.49998496,-1.277504,1.234128,0.597223,1.047156,43907.1616145681,1116.223145
2866,-31175.277062961,3172955.97095284,22455.0114868049,3155530.43388836,1.946528,0.10351,7.041935,0.73042,12690.2301410871,462.752838
2868,-22023.5770010764,3187103.80440383,27486.8650061964,3171016.88662647,-1.964502,1.175868,0.283752,0.539291,28973.6501826587,814.822083
2869,-26028.4174668328,3197559.26117269,30177.2184189542,3179296.9430341,-1.603507,1.198652,0.417566,0.795144,37679.8167098403,1040.256348
2870,-21879.318704109,3192271.26358723,29019.3185976807,3175733.29381647,-1.725407,1.186968,0.362803,0.683255,33932.7741770648,1112.963745
2872,-9305.07277891118,3177969.79434654,26016.9558849139,3166492.97152276,-2.173809,1.141921,0.219644,0.368057,24216.9243454415,821.109558
2873,-13917.1656488604,3190630.66418519,29297.4764918309,3176589.37578803,-1.796601,1.205081,0.345689,0.629646,34832.9120310127,1094.284302
2875,824.311289200592,3183268.46859278,28541.467281466,3174262.61868733,-1.203298,1.24442,0.658848,1.369688,32386.4148346564,1431.490723
2880,13927.2104686129,3170402.40967823,26011.4429727582,3166476.00452377,3.232043,0.105034,25.471321,2.678773,24199.0841869515,1139.181519
2888,-49902.3098595754,3166449.11305407,18754.4214260083,3144141.18878042,1.966589,0.103858,7.184909,0.748508,714.869147490321,454.835052
2921,-17922.5678609113,3162542.64107029,20660.1317387384,3150006.36203653,1.654155,0.101903,5.255847,0.536135,6881.87726490646,422.854004
2925,19925.3554651572,3164335.90709117,24801.3144757329,3162751.61197061,2.946858,0.10294,19.147121,1.974277,20283.0261090685,775.475464
2926,27087.1874727699,3162705.82063347,25006.1381871317,3163381.99453521,2.44733,0.107135,11.623952,1.248651,20945.8495625585,585.518433
2928,33742.1774362071,3146308.53044197,20822.5905038804,3150506.35870348,2.103575,0.1125,8.247402,0.929775,7407.60487244668,499.481598
2930,73021.9909443071,3144804.99554771,24131.6011073896,3160690.44616223,1.434281,0.105312,4.219962,0.445717,18115.7881236692,396.486694
2931,80850.2389070715,3142988.16379931,24345.1788159376,3161347.77075974,1.824585,0.102541,6.232904,0.64091,18806.9401070092,523.402771
2935,49942.6877232633,3169003.92476559,29039.610616716,3175795.74622939,-0.783146,1.296969,1.090963,2.57987,33998.4405300637,1445.984375
2937,20327.4865234358,3175926.69026772,28246.1602816646,3173353.75719563,-1.078817,1.261581,0.764983,1.530589,31430.7813090678,1563.579468
2938,32944.1853897964,3183983.35525908,31818.7422492369,3184349.03390244,-2.463886,1.128701,0.160151,0.243098,42991.8994113208,1717.109863
2947,19650.3104587957,3189048.13892814,32037.7927272357,3185023.20195239,-1.917991,1.172567,0.292382,0.487154,43700.7616486288,1954.699951
2948,9817.05020713674,3190813.13740394,31617.5199654544,3183729.73539233,-2.504723,1.122613,0.152082,0.222588,42340.7304224126,1936.241699
2950,55214.1739271529,3165569.95058044,28533.7730649865,3174238.93832394,-0.805445,1.278879,1.018078,2.225854,32361.5158270949,1355.82959
2951,63998.6339760127,3166177.42392938,29551.1462942827,3177370.09116291,-1.079372,1.263164,0.755161,1.44019,35653.8047555859,1482.910645
2954,69125.7878798611,3135713.94556479,21087.7542675944,3151322.44885371,1.434459,0.104035,4.220151,0.440404,8265.69283699489,363.491302
2955,69125.7878798611,3135713.94556479,21087.7542675944,3151322.44885371,1.433294,0.103155,4.214836,0.435583,8265.69283699489,363.491302
2956,69125.7878798611,3135713.94556479,21087.7542675944,3151322.44885371,1.433169,0.104459,4.214893,0.441568,8265.69283699489,363.491302
2957,75346.7190546103,3136360.60735064,21871.8494648375,3153735.64573385,1.443012,0.103291,4.256087,0.441323,10803.0781961043,469.092712
