DBID,X,Y,PX,PY,u_loc,u_scale,u_mean,u_sd,dpl_m,z_m
3962,551890.976770641,3126103.83667973,589838.539414095,3128496.07051814,-1.210086,1.23446,0.651953,1.318755,20633.939701737,884.437256
3963,545518.020507742,3140790.82773173,588891.102364756,3143525.08908784,-1.085665,1.265821,0.74755,1.434458,35692.7921191953,1748.9646
3968,552825.391176749,3140095.3478517,588963.697540834,3142373.52524504,-1.228853,1.234633,0.630287,1.219443,34538.9423267097,1720.622925
3969,559017.173028394,3135993.28947675,589245.779184695,3137898.91633385,-1.228504,1.231289,0.611589,0.991964,30055.4509458876,1922.094604
3970,558575.348264505,3126113.13594321,589864.414755612,3128085.61476446,-0.564619,1.314031,1.356116,2.925073,20222.6691593548,1365.797607
3971,558272.747911266,3115984.58774309,590499.198372445,3118016.15973124,-1.615027,1.200895,0.403456,0.668767,10133.2254231459,707.233276
3972,568016.347879747,3124162.4445528,590024.271591199,3125549.83536655,-0.700657,1.303919,1.174351,2.832465,17681.8560291286,1295.328613
3973,572551.324019591,3116196.80991822,590542.392698712,3117330.97612772,-1.222041,1.237017,0.643738,1.559041,9446.68167337241,952.974731
3975,621631.852151479,3121935.1394244,590376.356543522,3119964.77692887,-1.544984,1.218279,0.446572,0.777871,12085.7107874519,981.19696
3976,620431.181893398,3125308.27081737,590159.801629075,3123399.94745852,-1.376705,1.215637,0.531526,1.006751,15527.7004153789,897.094727
3977,619665.665300352,3131200.61557602,589786.785351263,3129317.03563863,-1.26886,1.251791,0.630565,1.337087,21456.5345060467,901.039978
3978,608755.372687745,3136828.51452878,589390.217052274,3135607.72517183,-0.963087,1.26109,0.847601,1.741464,27759.7115794709,1182.958618
3979,626470.179380154,3159723.7769165,588022.723045094,3157300.02952303,-1.144497,1.242065,0.695922,1.371924,49495.0769530876,1699.765503
3987,632546.956103313,3201680.53936186,585412.271162495,3198709.14461544,-1.313956,1.232019,0.574238,1.057535,90986.3925717523,2932.093262
3993,631059.508987862,3235905.68555969,583257.35296965,3232892.21309375,-1.504376,1.199499,0.45898,0.784094,125237.317274756,4195.557129
4068,628196.190349694,3166664.18228625,587593.760420337,3164104.58425063,-1.021648,1.261078,0.797194,1.590415,56313.1392859213,1941.599121
4069,623958.625825792,3173229.44437361,587164.747338037,3170909.93937689,-1.283273,1.231093,0.592211,1.062174,63132.0036062632,2038.181763
4070,633084.241927676,3176413.52667522,587000.938317837,3173508.41154788,-1.13081,1.245892,0.700521,1.495529,65735.6339599295,2100.801514
4071,624684.48065113,3179810.93197271,586754.362516823,3177419.79784512,-1.10976,1.236659,0.709727,1.454142,69654.7846832156,2148.074951
4072,632300.351566048,3188220.21402512,586256.481968582,3185317.58483817,-1.670692,1.206814,0.38894,0.685874,77568.249438172,2946.741211
4073,625883.438955817,3194966.74012017,585807.460464662,3192440.3298536,-1.753901,1.186584,0.353004,0.637188,84705.1336929258,3098.517822
4077,635491.122336302,3137708.72313043,589440.778027807,3134805.68577437,-1.037088,1.272114,0.792336,1.480676,26956.0800673187,1419.277832
4078,626175.090482845,3135054.71253462,589570.54959146,3132747.14347722,-1.229352,1.240072,0.636686,1.165286,24893.45139305,1297.962646
4080,620207.080182588,3160342.62157225,587959.073487962,3158309.69066807,-1.266672,1.233411,0.607812,1.187334,50506.742359198,1622.683472
4081,607669.982355118,3156942.76971905,588122.926963641,3155710.51330806,-0.990625,1.271936,0.838907,1.673683,47902.4054166597,1752.053955
4082,619943.999070433,3167081.79416983,587534.872892224,3165038.70621065,-1.297277,1.231963,0.577542,1.032708,57249.115555469,1959.447144
4083,618645.188132072,3180464.48274199,586689.419639803,3178449.97468418,-0.920514,1.284716,0.904034,1.796636,70687.0065087016,2319.471191
4084,605827.45204262,3178819.23331587,586741.989045766,3177616.07592651,-0.819613,1.291677,1.007214,1.955327,69851.4523928658,2215.503418
4085,617073.54085216,3188389.45148985,586185.581950899,3186442.25869707,-0.697958,1.292172,1.136272,2.255037,78695.1558679137,2679.789795
4086,618848.783325873,3197678.29240151,585609.353644171,3195582.86168304,-1.027572,1.260714,0.804714,1.629077,87853.9037085665,2675.062988
4087,606908.052380322,3202159.45589934,585280.711121425,3200796.05719886,-1.103709,1.255148,0.72499,1.453835,93077.447849657,2468.912842
