x,z
0,-709.843571608964
100.1001001001,-596.253305541606
200.2002002002,-367.053300066643
300.3003003003,-58.7762723300328
400.4004004004,-811.825035509071
500.5005005005,-58.0447438422549
600.600600600601,-975.445197835696
700.700700700701,-361.56687376106
800.800800800801,-410.999314999631
900.900900900901,-501.778250568472
1001.001001001,-533.316140651673
1101.1011011011,-648.663702426727
1201.2012012012,-834.96527858771
1301.3013013013,-933.252268225316
1401.4014014014,-751.878396418667
1501.5015015015,-413.352111603909
1601.6016016016,-653.009131248634
1701.7017017017,-200.428815494446
1801.8018018018,-862.937104879332
1901.9019019019,-89.4158939423253
2002.002002002,-434.196767993279
2102.1021021021,-575.769113646675
2202.2022022022,-179.646339041354
2302.3023023023,-715.826194242634
2402.4024024024,-424.871941390428
2502.5025025025,-829.034518237527
2602.6026026026,-925.851233343833
2702.7027027027,-793.569976886286
2802.8028028028,-582.60475606775
2902.9029029029,-232.654373735102
3003.003003003,-365.797524191843
3103.1031031031,-147.210886081266
3203.2032032032,-326.137509361932
3303.3033033033,-732.584003327852
3403.4034034034,-713.885372449826
3503.5035035035,-647.647508380879
3603.6036036036,-823.291222353732
3703.7037037037,-839.623220964333
3803.8038038038,-404.243692913912
3903.9039039039,-190.203500095978
4004.004004004,-78.5874226743635
4104.1041041041,-251.830009436411
4204.2042042042,-671.22813281231
4304.3043043043,-237.074283613149
4404.4044044044,-262.363816843715
4504.5045045045,-315.15577966216
4604.6046046046,-148.869808623212
4704.7047047047,-507.619227627957
4804.8048048048,-487.328046946328
4904.9049049049,-602.481994807257
5005.005005005,-306.314623258288
5105.10510510511,-555.217016809065
5205.2052052052,-550.610177358128
5305.30530530531,-428.680499374958
5405.4054054054,-527.285329737965
5505.50550550551,-285.134542626563
5605.60560560561,-324.750763253103
5705.70570570571,-445.151893075574
5805.80580580581,-236.597815047879
5905.90590590591,-457.281751243531
6006.00600600601,-599.934857507989
6106.10610610611,-234.286312108806
6206.20620620621,-115.681156391054
6306.30630630631,-633.437064929501
6406.40640640641,-313.418197919213
6506.50650650651,-970.391344277412
6606.60660660661,-366.07831608063
6706.70670670671,-942.191036330086
6806.80680680681,-320.24286542013
6906.90690690691,-682.049563450866
7007.00700700701,-728.596610945356
7107.10710710711,-918.316949978296
7207.20720720721,-890.997420256837
7307.30730730731,-1.34948617283559
7407.40740740741,-566.64404260532
7507.50750750751,-568.262711626549
7607.60760760761,-400.932018773438
7707.70770770771,-540.28734221273
7807.80780780781,-701.685199954955
7907.90790790791,-502.378324224162
8008.00800800801,-577.598519622458
8108.10810810811,-608.477434536925
8208.20820820821,-991.738764525711
8308.30830830831,-61.9840840568003
8408.40840840841,-318.274313700083
8508.50850850851,-644.935751439226
8608.60860860861,-574.332343032927
8708.70870870871,-411.802291574076
8808.80880880881,-601.387846529628
8908.90890890891,-546.737432321135
9009.00900900901,-102.517022970535
9109.10910910911,-612.844674936885
9209.20920920921,-594.552641261427
9309.30930930931,-954.112124487023
9409.40940940941,-974.70341750293
9509.50950950951,-526.043701061901
9609.60960960961,-860.371493533583
9709.70970970971,-62.3558907337336
9809.80980980981,-408.372639365633
9909.90990990991,-964.023362640552
10010.01001001,-140.987250172279
10110.1101101101,-290.457283189537
10210.2102102102,-435.319835673267
10310.3103103103,-933.062831548093
10410.4104104104,-349.23698337545
10510.5105105105,-209.997000789406
10610.6106106106,-147.838618426637
10710.7107107107,-568.678928846108
10810.8108108108,-418.273313873601
10910.9109109109,-429.415939578338
