x,z
0,-986.697366794699
100.1001001001,-939.045198333577
200.2002002002,-15.43525796161
300.3003003003,-473.261365346132
400.4004004004,-898.161501019274
500.5005005005,-143.665183723223
600.600600600601,-245.725267931863
700.700700700701,-131.465794513618
800.800800800801,-703.079890060986
900.900900900901,-330.046965707428
1001.001001001,-103.476062508612
1101.1011011011,-221.31663511326
1201.2012012012,-850.168158335992
1301.3013013013,-788.116832470351
1401.4014014014,-185.670896707639
1501.5015015015,-394.84496875254
1601.6016016016,-259.630905254973
1701.7017017017,-598.768064837655
1801.8018018018,-667.819427294918
1901.9019019019,-76.4400320140725
2002.002002002,-392.681823036928
2102.1021021021,-231.562057548408
2202.2022022022,-946.169884783835
2302.3023023023,-359.415897605416
2402.4024024024,-290.725231659212
2502.5025025025,-95.9444038741402
2602.6026026026,-644.942893972304
2702.7027027027,-496.117878536822
2802.8028028028,-266.438479256485
2902.9029029029,-732.869253873543
3003.003003003,-949.299486142785
3103.1031031031,-965.718624060435
3203.2032032032,-828.453723642476
3303.3033033033,-189.88065536998
3403.4034034034,-784.472178942773
3503.5035035035,-459.724528984552
3603.6036036036,-125.370926088135
3703.7037037037,-383.115222907876
3803.8038038038,-67.4250314170207
3903.9039039039,-910.505674005844
4004.004004004,-975.406996580061
4104.1041041041,-698.077467036255
4204.2042042042,-245.960592683963
4304.3043043043,-675.437899881917
4404.4044044044,-89.9063081138968
4504.5045045045,-968.358853481333
4604.6046046046,-664.779667888357
4704.7047047047,-113.187673107476
4804.8048048048,-82.7661707629707
4904.9049049049,-35.85563691864
5005.005005005,-571.973391582096
5105.10510510511,-839.618590956441
5205.2052052052,-768.347471950634
5305.30530530531,-999.619620484049
5405.4054054054,-605.106057737362
5505.50550550551,-367.237049360799
5605.60560560561,-16.9101594733516
5705.70570570571,-235.445411876548
5805.80580580581,-679.271401735339
5905.90590590591,-429.008640794217
6006.00600600601,-166.28181183108
6106.10610610611,-542.742747484534
6206.20620620621,-588.611469385925
6306.30630630631,-811.606658953466
6406.40640640641,-472.210067201709
6506.50650650651,-918.469883425862
6606.60660660661,-863.485977952001
6706.70670670671,-521.837068366336
6806.80680680681,-528.937403243533
6906.90690690691,-679.585182614347
7007.00700700701,-681.68446261895
7107.10710710711,-189.061726771386
7207.20720720721,-472.252411815585
7307.30730730731,-616.955623109348
7407.40740740741,-925.926253080004
7507.50750750751,-166.149183322044
7607.60760760761,-864.115603294153
7707.70770770771,-274.262556141998
7807.80780780781,-573.972928152502
7907.90790790791,-124.804345641085
8008.00800800801,-517.639445600807
8108.10810810811,-80.8431917613837
8208.20820820821,-370.269303860737
8308.30830830831,-674.09460197267
8408.40840840841,-26.344232559121
8508.50850850851,-651.789143805024
8608.60860860861,-892.672461250401
8708.70870870871,-450.218976038217
8808.80880880881,-866.936520731992
8908.90890890891,-750.486352658635
9009.00900900901,-448.162563639456
9109.10910910911,-606.651394869619
9209.20920920921,-700.242565968687
9309.30930930931,-233.4705223098
9409.40940940941,-454.082513854132
9509.50950950951,-47.7250926138867
9609.60960960961,-611.331140451713
9709.70970970971,-17.0899474430261
9809.80980980981,-624.319751313877
9909.90990990991,-194.363589281668
10010.01001001,-505.823084859547
10110.1101101101,-479.798755599135
10210.2102102102,-710.54712626438
10310.3103103103,-690.330520436555
10410.4104104104,-726.049976183067
10510.5105105105,-441.03559991004
10610.6106106106,-328.633028390778
10710.7107107107,-547.103634097995
10810.8108108108,-858.383080976713
10910.9109109109,-914.376786206095
11011.011011011,-625.999563019417
11111.1111111111,-517.211070038068
11211.2112112112,-537.481165911832
11311.3113113113,-161.003067545088
11411.4114114114,-138.231609888569
11511.5115115115,-595.455767829703
11611.6116116116,-606.959931810814
11711.7117117117,-644.308640205724
11811.8118118118,-63.6054983219387
11911.9119119119,-63.4514819551437
12012.012012012,-603.855035377869
12112.1121121121,-408.254868996788
12212.2122122122,-438.805070675617
12312.3123123123,-79.4132102130575
12412.4124124124,-407.663549702813
12512.5125125125,-112.900750989681
